slot_number,Bias voltage (V),Oscilloscope vertical scale (V/DIV),n_triggers
3,560,0.007,3333
3,580,0.007,3333
3,600,0.007,3333
3,620,0.007,3333
3,640,0.007,3333
3,660,0.007,3333
3,680,0.007,3333
3,700,0.007,3333
3,720,0.007,3333
3,740,0.007,3333
3,760,0.007,3333
3,780,0.007,3333
4,560,0.01,3333
4,580,0.01,3333
4,600,0.01,3333
4,620,0.01,3333
4,640,0.01,3333
4,660,0.01,3333
4,680,0.01,3333
4,700,0.01,3333
4,720,0.01,3333
4,740,0.01,3333
4,760,0.01,3333
4,780,0.01,3333
6,560,0.01,3333
6,580,0.01,3333
6,600,0.01,3333
6,620,0.01,3333
6,640,0.01,3333
6,660,0.01,3333
6,680,0.01,3333
6,700,0.01,3333
6,720,0.01,3333
6,740,0.01,3333
6,760,0.01,3333
6,780,0.01,3333
